APA,3.71
APAC,0.1
APAM,3.52
APCA,0.01
APCX,1.06
APD,0.86
APDN,3.86
APEI,4.57
APG,1.73
APGB,0.01
APGN,0.8
APH,1
APLD,5.34
APLE,1.79
APLM,1.85
APLS,12.36
APLT,0.83
APM,1.44
APO,3.03
APOG,4.07
APP,11.8
APPF,3.7
APPH,14.2
APPN,8.08
APPS,6.87
APRE,1.06
APRN,15.67
APT,1.47
APTM,0.01
APTO,0.18
APTV,1.84
APTX,5.41
APVO,1.28
APWC,0.16
APXI,0.11
APYX,15.59
AQB,2.41
AQMS,5.77
AQST,3.58
AQU,0.06
AQUA,5.46
AR,7.17
ARAV,12.74
ARAY,5.06
ARBB,0.42
ARBE,1.27
ARBG,0.15
ARC,0.25
ARCB,5.64
ARCC,3.44
ARCE,6.1
ARCH,8.78
ARCO,0.38
ARCT,12.29
ARDS,2.32
ARDX,9.37
ARE,2.14
AREB,1.58
AREC,5.39
AREN,2.91
ARES,3.61
ARGO,9.6
ARHS,23.08
ARI,4.46
ARIS,5.53
ARIZ,0.01
ARKO,4.38
ARKR,0.85
ARL,1.12
ARLO,3.38
ARLP,3.79
ARMK,5.94
ARMP,0.3
ARNC,2.11
AROC,2.96
AROW,0.6
ARQQ,1.95
ARQT,30.23
ARR,9.63
ARRW,0.01
ARRY,11.33
ARTE,0.03
ARTL,2.8
ARTNA,1.14
ARTW,1.09
ARVL,0.22
ARVN,9.68
ARW,2.28
ARWR,4.74
ARYD,3.93
ARYE,0.09
ASAN,13.59
ASB,3.81
ASC,5.1
ASCB,0.04
ASGN,1.89
ASH,1.14
ASIX,1.62
ASLE,4.06
ASM,0.36
ASMB,0.62
ASNS,0.8
ASO,14.71
ASPA,0.03
ASPI,0.11
ASPN,5.43
ASPS,7.82
ASRT,18.12
ASRV,0.07
ASST,1.02
ASTC,1.73
ASTE,1.22
ASTI,11.3
ASTL,6.66
ASTR,12.83
ASTS,24.37
ASUR,2.66
ASXC,5.19
ASYS,0.41
ATAI,3.32
ATAK,0.06
ATAQ,0.1
ATEC,9.41
ATEK,0.02
ATEN,2.83
ATER,12.58
ATEX,5.34
ATGE,2.88
ATHA,6.8
ATHX,5.12
ATI,7.72
ATIF,1.7
ATIP,7.75
ATKR,8.34
ATLC,10.05
ATLO,1.08
ATLX,5.3
ATMC,0.01
ATNF,6.28
ATNI,1.28
ATNM,7.3
ATNX,5.58
ATO,4.55
ATOM,19.4
ATOS,6.58
ATR,0.77
ATRA,20.25
ATRC,3.7
ATRI,2.85
ATRO,1.75
ATSG,2.26
ATTO,0.03
ATUS,17.37
ATVI,2.59
ATXG,0.2
ATXI,4.78
ATXS,2.24
AUB,6.9
AUBN,0.11
AUD,8.64
AUDC,0.37
AUGX,0.06
AUID,0.71
AULT,5.62
AUMN,1.21
AUPH,13.01
AUR,3
AURA,4.76
AURC,0.07
AUST,1.36
AUUD,1.2
AUVI,1.31
AVA,3.56
AVAC,0.02
AVAH,2.43
AVAV,5.13
AVB,1.03
AVD,0.86
AVDX,3.49
AVGO,1.32
AVGR,0.56
AVHI,0.01
AVID,4.39
AVIR,2.51
AVNS,1.92
AVNT,1.7
AVNW,3.04
AVO,1.59
AVPT,4.51
AVRO,2.39
AVT,2.5
AVTA,2.83
AVTE,3.84
AVTR,2.3
AVTX,0.42
AVXL,20.19
AVY,1.94
AWH,1.5
AWI,2.22
AWIN,0.84
AWK,1.04
AWR,1.83
AWRE,0.44
AWX,0.82
AX,6.65
AXAC,0.01
AXDX,6.7
AXGN,2.84
AXL,3.07
AXLA,2.82
AXNX,8.41
AXON,3.13
AXP,0.77
AXR,0.66
AXS,0.72
